30	1089
30	1737
30	3490
30	17175
30	457783
30	469744
30	797833
92	30
92	1070
92	1089
92	10592
1070	92
1089	30
1089	457783
1089	469744
1089	627560
3490	30
3490	1070
3490	1089
3490	5723
3490	10038
3490	12625
3490	77443
5723	5723
9525	10592
10038	30
10038	3490
10038	12625
12625	3490
17175	10592
45794	49205
49205	45794
59309	457783
59309	627560
77443	10592
94498	9525
154009	10592
154009	17175
154009	45794
154009	49205
154009	570365
457783	30
457783	3490
457783	154009
457783	457783
457783	469744
457783	627560
469744	1089
627560	92
627560	1046
627560	9525
627560	13907
627560	59309
627560	457783
797833	30
797833	1089
797833	10592
797833	17175
797833	469744
991278	9228
